fecha,año,mes,precipitacion_mm
1995-02-01,1995,2,197.5606620192751
1995-03-01,1995,3,181.67609631274004
1995-04-01,1995,4,164.67522029131874
1995-05-01,1995,5,124.1935624001726
1995-06-01,1995,6,72.36649758344586
1995-07-01,1995,7,67.1943800702362
1995-08-01,1995,8,49.60567323815052
1995-09-01,1995,9,80.59603928191063
1995-10-01,1995,10,120.23899560727027
1995-11-01,1995,11,176.68336462821065
1995-12-01,1995,12,143.8923665137111
1996-01-01,1996,1,177.4237153356305
1996-02-01,1996,2,188.0899498730335
1996-03-01,1996,3,242.96657097590167
1996-04-01,1996,4,150.07093288893466
1996-05-01,1996,5,107.27746733550813
1996-06-01,1996,6,93.53087084688428
1996-07-01,1996,7,84.3348943618886
1996-08-01,1996,8,58.36153476526312
1996-09-01,1996,9,75.8893585727548
1996-10-01,1996,10,131.1854331093482
1996-11-01,1996,11,75.24153191467236
1996-12-01,1996,12,121.84999891800423
1997-01-01,1997,1,133.12239454782303
1997-02-01,1997,2,216.13691998880353
1997-03-01,1997,3,186.15944352737495
1997-04-01,1997,4,201.58561384113827
1997-05-01,1997,5,130.01401021763803
1997-06-01,1997,6,78.13683330757414
1997-07-01,1997,7,79.37349742791385
1997-08-01,1997,8,102.29788298211105
1997-09-01,1997,9,110.47029288029816
1997-10-01,1997,10,128.16431811974235
1997-11-01,1997,11,189.682873412864
1997-12-01,1997,12,303.84043739764013
1998-01-01,1998,1,399.3497133650559
1998-02-01,1998,2,498.1273141615984
1998-03-01,1998,3,596.4820790792833
1998-04-01,1998,4,321.0077707934322
1998-05-01,1998,5,154.55569081165183
1998-06-01,1998,6,127.71432625837058
1998-07-01,1998,7,80.72979104302883
1998-08-01,1998,8,61.88132874940236
1998-09-01,1998,9,73.81262981948078
1998-10-01,1998,10,114.45127057865668
1998-11-01,1998,11,130.88418312476395
1998-12-01,1998,12,96.04299238180784
1999-01-01,1999,1,151.08676339965692
1999-02-01,1999,2,311.0630808076443
1999-03-01,1999,3,240.99977279245113
1999-04-01,1999,4,165.5137814057739
1999-05-01,1999,5,140.98978653584464
1999-06-01,1999,6,91.98698881504848
1999-07-01,1999,7,73.75117928986425
1999-08-01,1999,8,54.04468832502271
1999-09-01,1999,9,113.83407582404665
1999-10-01,1999,10,104.99554465628006
1999-11-01,1999,11,117.8734684554721
1999-12-01,1999,12,179.39247024733461
2000-01-01,2000,1,129.74124348122072
2000-02-01,2000,2,236.79394621550279
2000-03-01,2000,3,258.684549621058
2000-04-01,2000,4,217.23264990846
2000-05-01,2000,5,128.05594948800922
2000-06-01,2000,6,92.30381048315478
2000-07-01,2000,7,87.3684541591159
2000-08-01,2000,8,68.78295802257998
2000-09-01,2000,9,106.2197850061028
2000-10-01,2000,10,101.91320853009954
2000-11-01,2000,11,85.68307591897656
2000-12-01,2000,12,168.85809472389005
2001-01-01,2001,1,237.91722343139807
2001-02-01,2001,2,222.87350935985188
2001-03-01,2001,3,351.19606536678276
2001-04-01,2001,4,180.18920431087437
2001-05-01,2001,5,113.17200342326653
2001-06-01,2001,6,80.34052392561121
2001-07-01,2001,7,74.42365326016507
2001-08-01,2001,8,50.2829237414001
2001-09-01,2001,9,94.30865255671604
2001-10-01,2001,10,91.08900712188719
2001-11-01,2001,11,126.112582619183
2001-12-01,2001,12,179.37710182505663
2002-01-01,2002,1,136.5576576922233
2002-02-01,2002,2,229.1321720028746
2002-03-01,2002,3,313.4903004529786
2002-04-01,2002,4,240.5994276986446
2002-05-01,2002,5,112.58427512800408
2002-06-01,2002,6,72.91685258253645
2002-07-01,2002,7,85.00593899375858
2002-08-01,2002,8,47.745750956758926
2002-09-01,2002,9,63.263866277636325
2002-10-01,2002,10,127.96019140195244
2002-11-01,2002,11,147.71425328859158
2002-12-01,2002,12,175.21174861394914
2003-01-01,2003,1,151.47076023890764
2003-02-01,2003,2,170.86672578183436
2003-03-01,2003,3,193.66984461916928
2003-04-01,2003,4,143.16520089537835
2003-05-01,2003,5,113.96323361036721
2003-06-01,2003,6,78.09360032949215
2003-07-01,2003,7,61.96474833411569
2003-08-01,2003,8,63.269041649970426
2003-09-01,2003,9,76.46953985494619
2003-10-01,2003,10,115.24337857382721
2003-11-01,2003,11,122.27487734112628
2003-12-01,2003,12,127.72470884686595
2004-01-01,2004,1,103.87512452587113
2004-02-01,2004,2,186.87168671104538
2004-03-01,2004,3,191.49113812535168
2004-04-01,2004,4,152.90456573830147
2004-05-01,2004,5,116.06052900473547
2004-06-01,2004,6,73.36283532937938
2004-07-01,2004,7,64.98429241386454
2004-08-01,2004,8,48.22572106005665
2004-09-01,2004,9,76.8524483760541
2004-10-01,2004,10,126.24552511264513
2004-11-01,2004,11,150.41218196274383
2004-12-01,2004,12,133.7695022750035
2005-01-01,2005,1,114.82827497912479
2005-02-01,2005,2,204.30415901184213
2005-03-01,2005,3,265.5297912893891
2005-04-01,2005,4,152.61334810807918
2005-05-01,2005,5,84.97618073848385
2005-06-01,2005,6,74.737734330151
2005-07-01,2005,7,52.180595938241126
2005-08-01,2005,8,41.71500973775832
2005-09-01,2005,9,61.5859831169443
2005-10-01,2005,10,132.63284547235756
2005-11-01,2005,11,83.04955180453294
2005-12-01,2005,12,159.9893354718351
2006-01-01,2006,1,150.3890901462486
2006-02-01,2006,2,271.21527033047283
2006-03-01,2006,3,296.4138576734817
2006-04-01,2006,4,163.4120395095444
2006-05-01,2006,5,78.1334365787647
2006-06-01,2006,6,68.96852773720899
2006-07-01,2006,7,50.29356881166775
2006-08-01,2006,8,56.759747728741935
2006-09-01,2006,9,75.90022347642471
2006-10-01,2006,10,94.96404704786293
2006-11-01,2006,11,156.34017926501474
2006-12-01,2006,12,183.79899092062263
2007-01-01,2007,1,189.7230096662794
2007-02-01,2007,2,125.94391555090732
2007-03-01,2007,3,268.41824328826834
2007-04-01,2007,4,178.47132953535416
2007-05-01,2007,5,115.0029352575568
2007-06-01,2007,6,70.52363339571886
2007-07-01,2007,7,59.80839214397593
